region,market_size_usd_billion,share_percent,source_url
North America,74.79,46.40,https://www.fortunebusinessinsights.com/cloud-storage-market-102773
Europe,34.18,21.20,https://www.fortunebusinessinsights.com/cloud-storage-market-102773
Asia Pacific,34.02,21.10,https://www.fortunebusinessinsights.com/cloud-storage-market-102773
Middle East and Africa,12.20,7.60,https://www.fortunebusinessinsights.com/cloud-storage-market-102773
Latin America,6.09,3.80,https://www.fortunebusinessinsights.com/cloud-storage-market-102773
